t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1169583158238633984,711591530427973632,positive,other,2019-09-05T12:08:49.000Z,@Nigel_Farage @BorisJohnson A MESSAGE TO @BORISJOHNSON PARLIAMENT DOES NOT SPEAK FOR THE PEOPLE I will support Boris in doing whatever it takes for brexit  https://t.co/NlbCu9jWAJ… #DemocracyisDEAD #ToryShambles #ThursdayThoughts #SayNoToXenophobia #NoToNoDeal #NoToEUCitizenship #NoToEU,['notoeu']
1169967085210034176,711591530427973632,negative,other,2019-09-06T13:34:24.000Z,@BorisJohnson do not let the traitors in parliament stop brexit https://t.co/BxKEBM2Cui #PleaseLeaveMyCountry #brexitbarometer #FeelGoodFriday #DemocracyisDEAD #ToryShambles #ThursdayThoughts #SayNoToXenophobia #NoToNoDeal #NoToEUCitizenship #NoToEU #iSupportBoris #iSupportBoris,['notoeu']
1174399565795069952,1548950940,negative,remain,2019-09-18T19:07:30.000Z,"The EU really is pathetic! They are playing a game with the UK on who will blink first. When are the EU going to wake up, blink and realise we are ready to LEAVE on no deal. Its going to hurt the EU far more than the UK. Let's LEAVE NOW #WTO #NotoEU #Brexit",['notoeu']
