,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
3371651,1034387795605966848,3105585419,negative,remain,2018-08-28T10:30:43.000Z,"A #NoDealBrexit is worse than #Brexit deal.

A #NoDealBrexit is worse than #Brexit deal.

A #NoDealBrexit is worse than #Brexit deal.

A #NoDealBrexit is worse than #Brexit deal.

A #NoDealBrexit is worse than #Brexit deal.

#FBPE #StopBrexit #StandUp2Brexit #PeoplesVote https://t.co/ySz1U8vlfl","['nodealbrexit', 'brexit', 'standup2brexit', 'stopbrexit', 'fbpe', 'peoplesvote']"
3371650,1034387795605966848,3105585419,negative,remain,2018-08-28T10:30:43.000Z,"A #NoDealBrexit is worse than #Brexit deal.

A #NoDealBrexit is worse than #Brexit deal.

A #NoDealBrexit is worse than #Brexit deal.

A #NoDealBrexit is worse than #Brexit deal.

A #NoDealBrexit is worse than #Brexit deal.

#FBPE #StopBrexit #StandUp2Brexit #PeoplesVote https://t.co/ySz1U8vlfl","['nodealbrexit', 'brexit', 'standup2brexit', 'stopbrexit', 'fbpe', 'peoplesvote']"
3338776,1033978899468890112,419927046,neutral,remain,2018-08-27T07:25:54.000Z,"Brexit isn’t working.  They’re gonna have to sex it up a bit. 

#TechnicalNotices 
#Chequers 
#NoDealBrexit 
#LeaveLavs 
#Raab it 
#StandUp4Brexit 
#StandUp2Brexit 
#Brexit 
#StopBrexit https://t.co/eZoFE73V8P","['nodealbrexit', 'chequers', 'brexit', 'raab', 'standup2brexit', 'stopbrexit', 'technicalnotices', 'standup4brexit', 'leavelavs']"
3338775,1033978899468890112,419927046,neutral,remain,2018-08-27T07:25:54.000Z,"Brexit isn’t working.  They’re gonna have to sex it up a bit. 

#TechnicalNotices 
#Chequers 
#NoDealBrexit 
#LeaveLavs 
#Raab it 
#StandUp4Brexit 
#StandUp2Brexit 
#Brexit 
#StopBrexit https://t.co/eZoFE73V8P","['nodealbrexit', 'chequers', 'brexit', 'raab', 'standup2brexit', 'stopbrexit', 'technicalnotices', 'standup4brexit', 'leavelavs']"
2932365,1028399342531604480,2752663835,positive,leave,2018-08-11T21:54:44.000Z,"@cinnamonbear14b @shaneconnor_ @JKCorden It’s not scaremongering if it’s actually true. Brexit is impossible because too many differing things were promised by chancers. We need a #peoplesvote
#StandUp2Brexit","['peoplesvote', 'standup2brexit']"
2932366,1028399342531604480,2752663835,positive,leave,2018-08-11T21:54:44.000Z,"@cinnamonbear14b @shaneconnor_ @JKCorden It’s not scaremongering if it’s actually true. Brexit is impossible because too many differing things were promised by chancers. We need a #peoplesvote
#StandUp2Brexit","['peoplesvote', 'standup2brexit']"
3610610,1037485052706336768,820685387219734528,negative,remain,2018-09-05T23:38:06.000Z,"WTF?👇👇
I got 92 potholes 🕳️⛳️big enough for a rat to drown in just on my drive to work... 
and that's 3 miles... yes 3⃣
West Yorkshire.. 
Seems we're moving from a ""JIT"" economy to a ""JIC"" economy... (just in case)
#stopbrexit #peoplesvote #standup2brexit BREXIT SUCKS... https://t.co/eye5aXfQcD","['peoplesvote', 'stopbrexit', 'standup2brexit']"
3610611,1037485052706336768,820685387219734528,negative,remain,2018-09-05T23:38:06.000Z,"WTF?👇👇
I got 92 potholes 🕳️⛳️big enough for a rat to drown in just on my drive to work... 
and that's 3 miles... yes 3⃣
West Yorkshire.. 
Seems we're moving from a ""JIT"" economy to a ""JIC"" economy... (just in case)
#stopbrexit #peoplesvote #standup2brexit BREXIT SUCKS... https://t.co/eye5aXfQcD","['peoplesvote', 'stopbrexit', 'standup2brexit']"
3166534,1031882239930454016,76777287,negative,leave,2018-08-21T12:34:32.000Z,My reasons for voting leave and why i changed my mind. @peoplesvote_uk #peoplesvote #Brexit #StandUp2Brexit #remainernow #NHS #VoteLeaveBrokeTheLaw #VoteLeave #LeaveMeansLeave https://t.co/zaP4TzKcna,"['peoplesvote', 'voteleavebrokethelaw', 'voteleave', 'brexit', 'leavemeansleave', 'standup2brexit', 'nhs', 'remainernow']"
3166535,1031882239930454016,76777287,negative,leave,2018-08-21T12:34:32.000Z,My reasons for voting leave and why i changed my mind. @peoplesvote_uk #peoplesvote #Brexit #StandUp2Brexit #remainernow #NHS #VoteLeaveBrokeTheLaw #VoteLeave #LeaveMeansLeave https://t.co/zaP4TzKcna,"['peoplesvote', 'voteleavebrokethelaw', 'voteleave', 'brexit', 'leavemeansleave', 'standup2brexit', 'nhs', 'remainernow']"
3180995,1031999240908754944,3105585419,negative,remain,2018-08-21T20:19:27.000Z,"We’re 2,000 short of 700,000 signatures. Keep on signing , keep on sharing. #FBPE #PeoplesVote #FinalSay #Brexit #RemainerNow #Remain #Leave #StandUp2Brexit https://t.co/ZGw1azOhAu","['remain', 'finalsay', 'leave', 'brexit', 'remainernow', 'standup2brexit', 'fbpe', 'peoplesvote']"
3180994,1031999240908754944,3105585419,negative,remain,2018-08-21T20:19:27.000Z,"We’re 2,000 short of 700,000 signatures. Keep on signing , keep on sharing. #FBPE #PeoplesVote #FinalSay #Brexit #RemainerNow #Remain #Leave #StandUp2Brexit https://t.co/ZGw1azOhAu","['remain', 'finalsay', 'leave', 'brexit', 'remainernow', 'standup2brexit', 'fbpe', 'peoplesvote']"
2880650,1027616387550900224,507445672,positive,other,2018-08-09T18:03:33.000Z,#StandUp2Brexit - Brexit has had its day. We want to #Remain. https://t.co/X14l20s7QA,"['remain', 'standup2brexit']"
2880651,1027616387550900224,507445672,positive,other,2018-08-09T18:03:33.000Z,#StandUp2Brexit - Brexit has had its day. We want to #Remain. https://t.co/X14l20s7QA,"['remain', 'standup2brexit']"
3754720,1039609922911129600,45970216,negative,leave,2018-09-11T20:21:35.000Z,"Tories don't care, and they don't use UK public services much so they don't want to pay for them.
They just want to profit from them. 
Brexit is Privilege protecting itself.
We're being mugged by Spivs &amp; Toffs
#WiseUp #Riseup
Don't #StandUp4Brexit 
We need to #StandUp2Brexit https://t.co/5gs8xWOrU7","['riseup', 'standup4brexit', 'standup2brexit', 'wiseup']"
3754721,1039609922911129600,45970216,negative,leave,2018-09-11T20:21:35.000Z,"Tories don't care, and they don't use UK public services much so they don't want to pay for them.
They just want to profit from them. 
Brexit is Privilege protecting itself.
We're being mugged by Spivs &amp; Toffs
#WiseUp #Riseup
Don't #StandUp4Brexit 
We need to #StandUp2Brexit https://t.co/5gs8xWOrU7","['riseup', 'standup4brexit', 'standup2brexit', 'wiseup']"
3598970,1037348380643667968,1029273979561947136,neutral,remain,2018-09-05T14:35:01.000Z,"#Brexit - not what it said on the tin.
#StandUp2Brexit #NoMandateForNoDealBrexit #SayNoToNoSay #PeoplesVote #FBPE #WATON https://t.co/M5UD5Uwma9","['saynotonosay', 'brexit', 'waton', 'standup2brexit', 'fbpe', 'nomandatefornodealbrexit', 'peoplesvote']"
3598969,1037348380643667968,1029273979561947136,neutral,remain,2018-09-05T14:35:01.000Z,"#Brexit - not what it said on the tin.
#StandUp2Brexit #NoMandateForNoDealBrexit #SayNoToNoSay #PeoplesVote #FBPE #WATON https://t.co/M5UD5Uwma9","['saynotonosay', 'brexit', 'waton', 'standup2brexit', 'fbpe', 'nomandatefornodealbrexit', 'peoplesvote']"
