,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
0,0,0,0,0,0,422304,790532470370340864,746776023262465920,neutral,remain,2016-10-24T12:36:42.000Z,"I thought it was fishy. I thought it was bad.Just makes me realise the left are so sad.
#BrexitForever
#Brexit
#LoveUK https://t.co/UegagLIWF0","['brexitforever', 'loveuk', 'brexit']"
21,21,21,21,21,21,776207,1005438647318048768,974019358900084736,positive,leave,2018-06-09T13:17:08.000Z,@acgrayling Labour won’t save your federalist dream anyway. Both main Parties respect the democratic decision to leave and you should to.#Brexit #Brexitforever,['brexitforever']
22,22,22,22,22,22,2663208,1024632600625917952,1642525134,positive,leave,2018-08-01T12:27:03.000Z,"@KialoHQ I do not know where you get your stats from but all the brexiteers I talk to are still for it and even more determined to make sure we get out. Brexit means Brexit, at all costs! We can rebuild from when we leave! #BrexitForEver",['brexitforever']
23,23,23,23,23,23,2799747,1026492114002165760,974019358900084736,negative,other,2018-08-06T15:36:05.000Z,In case you missed it #bbcnews #Brexit #Brexitforever https://t.co/VqVdHgGKCV,"['brexitforever', 'bbcnews', 'brexit']"
24,24,24,24,24,24,2799748,1026492114002165760,974019358900084736,negative,other,2018-08-06T15:36:05.000Z,In case you missed it #bbcnews #Brexit #Brexitforever https://t.co/VqVdHgGKCV,"['brexitforever', 'bbcnews', 'brexit']"
25,25,25,25,25,25,938329,1007034399710482432,974019358900084736,positive,other,2018-06-13T22:58:05.000Z,@ajmpolite Sounds like betrayal to me. Best press on and implement to decision taken in the referendum. #Brexit #Brexitforever,"['brexitforever', 'brexit']"
26,26,26,26,26,26,955612,1007221808414756864,974019358900084736,positive,remain,2018-06-14T11:22:47.000Z,@Fishy2007 @alicmurray @CoreyStoughton Tariffs are on the whole considerably lower than 20%. If they want British they will buy British. #Brexit #Brexitforever,"['brexitforever', 'brexit']"
27,27,27,27,27,27,2962029,1028957590036918272,974019358900084736,positive,remain,2018-08-13T10:53:01.000Z,"@DavidLammy Some people like stronger tea than other people, so it makes sense to leave the tea bags in and let the drinker decide. It’s called ‘diversity’. #Brexit #Brexitforever","['brexitforever', 'brexit']"
28,28,28,28,28,28,2466309,1022611252844154880,974019358900084736,positive,other,2018-07-26T22:34:56.000Z,@brianbloop @ruckspin We can but pray #Brexit #Brexitforever,"['brexitforever', 'brexit']"
29,29,29,29,29,29,3201714,1032277196117827584,974019358900084736,negative,leave,2018-08-22T14:43:56.000Z,"@peoplesvote_uk @MitchBenn @RemainerNow Patronising nonsense and fear tactics. Our concerns about the EU were proven right and had been known about at least since 1992, yet we had to wait 40 YEARS for a vote. Let’s implement Brexit and then review in 40 years time. #Brexit #Brexitforever","['brexitforever', 'brexit']"
30,30,30,30,30,30,1279673,1010661231294865408,974019358900084736,negative,leave,2018-06-23T23:09:49.000Z,"@TheNewEuropean Dream on. We are a democracy, a vassal state of the German empire no more. We voted leave and we are LEAVING! #Brexit #Brexitforever","['brexitforever', 'brexit']"
