,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
80,80,80,2190629,1019843096526323712,2389336800,neutral,remain,2018-07-19T07:15:16.000Z,Here we go again?: A second #Brexitreferendum is back in play https://t.co/C9gACrhskO via @TheEconomist #brexit #BrexitShambles #CustomsUnion #trade #TradeWar #StopBrexitSaveDemocracy,"['brexitreferendum', 'brexitshambles', 'stopbrexitsavedemocracy', 'tradewar', 'customsunion', 'trade', 'brexit']"
81,81,81,3227334,1032579880666497024,162786663,positive,remain,2018-08-23T10:46:42.000Z,UK government now admits that a No-deal Brexit will force British credit card users to pay £166m 'Brexit tax'. When the baked beans hit the fan... #StopBrexitSaveDemocracy #PeoplesVote #BrexitShambles #brexitchaos,"['brexitshambles', 'brexitchaos', 'stopbrexitsavedemocracy', 'peoplesvote']"
82,82,82,3227335,1032579880666497024,162786663,positive,remain,2018-08-23T10:46:42.000Z,UK government now admits that a No-deal Brexit will force British credit card users to pay £166m 'Brexit tax'. When the baked beans hit the fan... #StopBrexitSaveDemocracy #PeoplesVote #BrexitShambles #brexitchaos,"['brexitshambles', 'brexitchaos', 'stopbrexitsavedemocracy', 'peoplesvote']"
83,83,83,2303520,1021130110055997440,531092049,negative,remain,2018-07-22T20:29:24.000Z,"@jeremycorbyn You are living in #BrexitLaLaLand 
ANY form of #BREXIT will totally destroy U.K. 
We will STOP #BrexitShambles 
@Labour4EU @Remain_Labour 
We need #PeoplesVote #FInalSayForAll on ANY deal
#StopBrexitSaveBritain
#StopBrexitSaveDemocracy 
@steviweavi","['brexitshambles', 'peoplesvote', 'stopbrexitsavedemocracy', 'stopbrexitsavebritain', 'finalsayforall', 'brexitlalaland', 'brexit']"
84,84,84,2303519,1021130110055997440,531092049,negative,remain,2018-07-22T20:29:24.000Z,"@jeremycorbyn You are living in #BrexitLaLaLand 
ANY form of #BREXIT will totally destroy U.K. 
We will STOP #BrexitShambles 
@Labour4EU @Remain_Labour 
We need #PeoplesVote #FInalSayForAll on ANY deal
#StopBrexitSaveBritain
#StopBrexitSaveDemocracy 
@steviweavi","['brexitshambles', 'peoplesvote', 'stopbrexitsavedemocracy', 'stopbrexitsavebritain', 'finalsayforall', 'brexitlalaland', 'brexit']"
85,85,85,2240913,1020584525188030464,2244877037,positive,remain,2018-07-21T08:21:27.000Z,@BrexitBin Brexit is one huge lie and this goes to prove it #StopBrexitSaveDemocracy #BrexitShambles,"['brexitshambles', 'stopbrexitsavedemocracy']"
86,86,86,2240912,1020584525188030464,2244877037,positive,remain,2018-07-21T08:21:27.000Z,@BrexitBin Brexit is one huge lie and this goes to prove it #StopBrexitSaveDemocracy #BrexitShambles,"['brexitshambles', 'stopbrexitsavedemocracy']"
87,87,87,4522412,1046797935902699520,790133520383500160,negative,remain,2018-10-01T16:24:11.000Z,"@katkin72 Brexit is dying, try to keep up, you fool. #StopBrexitSaveDemocracy #BrexitShambles","['brexitshambles', 'stopbrexitsavedemocracy']"
88,88,88,4522413,1046797935902699520,790133520383500160,negative,remain,2018-10-01T16:24:11.000Z,"@katkin72 Brexit is dying, try to keep up, you fool. #StopBrexitSaveDemocracy #BrexitShambles","['brexitshambles', 'stopbrexitsavedemocracy']"
89,89,89,4759424,1049757714417668096,163754779,positive,other,2018-10-09T20:25:17.000Z,"Brexit news latest: Majority of Brits now want to REMAIN in the EU, anaylsis of nearly 150 polls finds | London Evening Standard #StopBrexitSaveDemocracy #BrexitShambles #EuropeanUnion  https://t.co/6PC4zSJPaC","['brexitshambles', 'stopbrexitsavedemocracy', 'europeanunion']"
