,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1545380,745977381291171840,2731233226,neutral,leave,2016-06-23T13:50:41.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/cd0NGo6y5X,"['brexit', 'euref', 'voteout', 'ivoted']"
1574518,746072276852957184,292264671,neutral,leave,2016-06-23T20:07:46.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/In6FStRdRF,"['brexit', 'euref', 'voteout', 'ivoted']"
1561690,746029760434872320,47935362,neutral,leave,2016-06-23T17:18:50.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/6DwF4oLFhi,"['brexit', 'euref', 'voteout', 'ivoted']"
1557966,746017037349167104,734123652321542144,neutral,leave,2016-06-23T16:28:16.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/mNZYcsa7vb,"['brexit', 'euref', 'voteout', 'ivoted']"
1556631,746012746785894400,4625838077,neutral,leave,2016-06-23T16:11:13.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/uwaKHagySV,"['brexit', 'euref', 'voteout', 'ivoted']"
1561775,746030084486729728,550925313,neutral,leave,2016-06-23T17:20:07.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/zjrA0XbSmr,"['brexit', 'euref', 'voteout', 'ivoted']"
1550255,745992291303718912,406897339,neutral,leave,2016-06-23T14:49:56.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/Ot9fntdcAl","['brexit', 'euref', 'voteout', 'ivoted']"
1553619,746002806230884352,358065717,neutral,leave,2016-06-23T15:31:43.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/iJNGCM4mmI","['brexit', 'euref', 'voteout', 'ivoted']"
2038837,746325337244573696,483283978,neutral,leave,2016-06-24T12:53:21.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/lKbPmqDqwB","['brexit', 'euref', 'voteout', 'ivoted']"
1840952,746248634971332608,731816698236534784,neutral,leave,2016-06-24T07:48:33.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/COAWVca5NN","['brexit', 'euref', 'voteout', 'ivoted']"
1557972,746017048770322432,2771380641,neutral,leave,2016-06-23T16:28:19.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/dWveD2n0QZ,"['brexit', 'euref', 'voteout', 'ivoted']"
1552377,745998796711133184,180035310,neutral,leave,2016-06-23T15:15:47.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/vgjaniaSFa,"['brexit', 'euref', 'voteout', 'ivoted']"
1542769,745999162823548928,256466362,neutral,leave,2016-06-23T15:17:15.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/Nxcdq7z0Iw,"['brexit', 'euref', 'voteout', 'ivoted']"
1605460,746140985231613952,4776133678,neutral,leave,2016-06-24T00:40:48.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/Wx709ssSbr,"['brexit', 'euref', 'voteout', 'ivoted']"
1552740,745999945593913344,224753716,neutral,leave,2016-06-23T15:20:21.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/sGUpYdF2Hs,"['brexit', 'euref', 'voteout', 'ivoted']"
