,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
128,128,128,4124977,1043233251832328192,3432562233,negative,remain,2018-09-21T20:19:24.000Z,"@PickardJE @theresa_may can't deal cards. But I saw a few sympathetic tweets, accusing the EU of bullying her! Perhaps the Stockholm Syndrome has kicked in! #ToryBrexitShambles #Brexit #StopBrexit #SalzburgSummit18 #BrexitShambles #NoDealBrexit #brexshit","['salzburgsummit18', 'brexitshambles', 'torybrexitshambles', 'brexshit', 'nodealbrexit', 'brexit', 'stopbrexit']"
129,129,129,2496114,1022891011549343744,2924280006,negative,other,2018-07-27T17:06:36.000Z,"@richardcalhoun First response of the Scottish electorate, in the event of a no deal Brexit will be to vote for independence. Scotland voted to stay in the EU #DissolveTheUnion #ScotRef #ToryBrexitShambles","['scotref', 'dissolvetheunion', 'torybrexitshambles']"
130,130,130,2496115,1022891011549343744,2924280006,negative,other,2018-07-27T17:06:36.000Z,"@richardcalhoun First response of the Scottish electorate, in the event of a no deal Brexit will be to vote for independence. Scotland voted to stay in the EU #DissolveTheUnion #ScotRef #ToryBrexitShambles","['scotref', 'dissolvetheunion', 'torybrexitshambles']"
131,131,131,920737,1006910532719439872,2335804644,negative,other,2018-06-13T14:45:53.000Z,@StewartLewis2 @James4Labour @Grraarrgh @jeremycorbyn That is a complete  joke the #Tories were even too afraid to go against #TheresaMay and stand with #Labour on a #MeaningfulVote let alone another #Brexit referendum!! It seems they can be easily bribed by yesterday account! #PMQs #ToryBrexitShambles #ToriesOut,"['tories', 'pmqs', 'torybrexitshambles', 'theresamay', 'toriesout', 'meaningfulvote', 'labour', 'brexit']"
132,132,132,920736,1006910532719439872,2335804644,negative,other,2018-06-13T14:45:53.000Z,@StewartLewis2 @James4Labour @Grraarrgh @jeremycorbyn That is a complete  joke the #Tories were even too afraid to go against #TheresaMay and stand with #Labour on a #MeaningfulVote let alone another #Brexit referendum!! It seems they can be easily bribed by yesterday account! #PMQs #ToryBrexitShambles #ToriesOut,"['tories', 'pmqs', 'torybrexitshambles', 'theresamay', 'toriesout', 'meaningfulvote', 'labour', 'brexit']"
133,133,133,2085506,1019122760545693696,384533439,negative,other,2018-07-17T07:32:55.000Z,#TheresaMay is running scared of democracy as she tries to shut down Parliament 5 days early https://t.co/ThMaW9cnGY https://t.co/QLnD2jEser - #Brexit #Brexiteer #Tories #ToryBrexitShambles #GE2018Now #ToriesOut #JC4PM https://t.co/IckmZwRUCf,"['tories', 'toriesout', 'torybrexitshambles', 'theresamay', 'jc4pm', 'ge2018now', 'brexiteer', 'brexit']"
134,134,134,2085505,1019122760545693696,384533439,negative,other,2018-07-17T07:32:55.000Z,#TheresaMay is running scared of democracy as she tries to shut down Parliament 5 days early https://t.co/ThMaW9cnGY https://t.co/QLnD2jEser - #Brexit #Brexiteer #Tories #ToryBrexitShambles #GE2018Now #ToriesOut #JC4PM https://t.co/IckmZwRUCf,"['tories', 'toriesout', 'torybrexitshambles', 'theresamay', 'jc4pm', 'ge2018now', 'brexiteer', 'brexit']"
135,135,135,4601096,1047603072522997760,54176836,neutral,other,2018-10-03T21:43:30.000Z,"Heart drug trials halted over Brexit fears due to 
#ToryBrexitShambles
And we haven't even left yet!
#GetTheToriesOut because 
#ToryCutsKill and the #Tories
have caused at least  #120KAusterityRelatedDeaths so far!
 https://t.co/xLH4ocfSDA","['tories', 'torybrexitshambles', 'torycutskill', '120kausterityrelateddeaths', 'getthetoriesout']"
136,136,136,4601097,1047603072522997760,54176836,neutral,other,2018-10-03T21:43:30.000Z,"Heart drug trials halted over Brexit fears due to 
#ToryBrexitShambles
And we haven't even left yet!
#GetTheToriesOut because 
#ToryCutsKill and the #Tories
have caused at least  #120KAusterityRelatedDeaths so far!
 https://t.co/xLH4ocfSDA","['tories', 'torybrexitshambles', 'torycutskill', '120kausterityrelateddeaths', 'getthetoriesout']"
137,137,137,1746258,1016215819234299904,75518233,neutral,other,2018-07-09T07:01:46.000Z,Oh My God! #DavidDavisResigns #DavisResigns #DavidDavis the #BrexitSecretary has Resigned! #ToryBrexitShambles #toriesout #MayMustGo #mayout #brexit https://t.co/IGrroCpjKk via @YouTube,"['toriesout', 'mayout', 'daviddavisresigns', 'maymustgo', 'torybrexitshambles', 'brexitsecretary', 'davisresigns', 'brexit', 'daviddavis']"
