,t_stance,size,Date
190,other,203704,2018-06-01
191,remain,97074,2018-06-01
192,leave,59517,2018-06-15
193,other,234924,2018-06-15
194,remain,119369,2018-06-15
195,leave,64905,2018-06-29
196,other,253361,2018-06-29
197,remain,122747,2018-06-29
198,leave,68275,2018-07-13
199,other,275987,2018-07-13
200,remain,137599,2018-07-13
201,leave,53077,2018-07-27
202,other,205405,2018-07-27
203,remain,113280,2018-07-27
204,leave,48219,2018-08-10
205,other,175195,2018-08-10
206,remain,104372,2018-08-10
207,leave,48055,2018-08-24
208,other,188623,2018-08-24
209,remain,97711,2018-08-24
210,leave,56592,2018-09-07
211,other,211493,2018-09-07
212,remain,109630,2018-09-07
213,leave,68954,2018-09-21
214,other,282509,2018-09-21
215,remain,147946,2018-09-21
216,leave,54428,2018-10-05
217,other,238751,2018-10-05
218,remain,100948,2018-10-05
219,leave,67262,2018-10-19
220,other,261595,2018-10-19
221,remain,136735,2018-10-19
222,leave,64220,2018-11-02
223,other,285343,2018-11-02
224,remain,138544,2018-11-02
225,leave,75891,2018-11-16
226,other,337335,2018-11-16
227,remain,138628,2018-11-16
228,leave,71901,2018-11-30
229,other,330749,2018-11-30
230,remain,155986,2018-11-30
231,leave,36224,2018-12-14
232,other,146046,2018-12-14
233,remain,78854,2018-12-14
234,leave,34975,2018-12-28
235,other,131512,2018-12-28
236,remain,68938,2018-12-28
237,leave,51210,2019-01-11
238,other,201051,2019-01-11
239,remain,94513,2019-01-11
240,leave,38191,2019-01-25
241,other,155961,2019-01-25
242,remain,75894,2019-01-25
243,leave,33176,2019-02-08
244,other,136247,2019-02-08
245,remain,69856,2019-02-08
246,leave,30829,2019-02-22
247,other,132184,2019-02-22
248,remain,61659,2019-02-22
249,leave,52121,2019-03-08
250,other,217816,2019-03-08
251,remain,100115,2019-03-08
252,leave,78855,2019-03-22
253,other,285249,2019-03-22
254,remain,143037,2019-03-22
255,leave,46998,2019-04-05
256,other,158638,2019-04-05
257,remain,79070,2019-04-05
258,leave,34540,2019-04-19
259,other,99774,2019-04-19
260,remain,58992,2019-04-19
261,leave,42649,2019-05-03
262,other,142358,2019-05-03
263,remain,93218,2019-05-03
264,leave,61708,2019-05-17
265,other,206830,2019-05-17
266,remain,143089,2019-05-17
267,leave,39624,2019-05-31
268,other,148401,2019-05-31
269,remain,91769,2019-05-31
270,leave,32481,2019-06-14
271,other,119399,2019-06-14
272,remain,79551,2019-06-14
273,leave,33073,2019-06-28
274,other,115417,2019-06-28
275,remain,78277,2019-06-28
276,leave,34493,2019-07-12
277,other,123021,2019-07-12
278,remain,89528,2019-07-12
279,leave,40438,2019-07-26
280,other,150934,2019-07-26
281,remain,103642,2019-07-26
282,leave,44007,2019-08-09
283,other,164542,2019-08-09
284,remain,106930,2019-08-09
285,leave,60656,2019-08-23
286,other,226485,2019-08-23
287,remain,158398,2019-08-23
288,leave,46999,2019-09-06
289,other,183092,2019-09-06
290,remain,125968,2019-09-06
291,leave,37430,2019-09-20
292,other,138746,2019-09-20
293,remain,91640,2019-09-20
